Date and Time: 2025-12-05 10:07:09,,,,,,,,,,
Approximate Polling Time: 100 ms,,,,,,,,,,
Comments: Period = 105,,,,,,,,,,
timestamp/s,voltage/V,current/A,thermistor_0/C,thermistor_1/C,thermistor_2/C,thermistor_3/C,thermistor_4/C,thermistor_5/C,thermistor_6/C,thermistor_7/C
0,4.126,2.081,25.89413,25.80576,25.89078,26.03967,26.01984,26.08627,26.2261,26.25876
0.049053192,4.156,2.093,25.9119,25.81903,25.90063,26.04443,26.0181,26.08023,26.22186,26.25528
0.125301123,4.176,2.107,25.92517,25.82791,25.90494,26.04596,26.01785,26.07928,26.21942,26.25217
0.202809095,4.206,2.121,25.94547,25.83954,25.91031,26.05002,26.01999,26.07791,26.21423,26.24359
0.278066158,4.226,2.132,25.95859,25.84845,25.91571,26.05222,26.0195,26.07608,26.211,26.24112
0.354914188,4.258,2.145,25.98041,25.86359,25.92383,26.0549,26.0177,26.07422,26.20889,26.23819
0.429262161,4.278,2.159,25.99304,25.8725,25.92841,26.05676,26.01816,26.07257,26.20706,26.2345
0.505166054,4.308,2.17,26.01157,25.88376,25.93674,26.06323,26.01913,26.06921,26.20032,26.23022
0.579841137,4.327,2.184,26.0253,25.89331,25.94254,26.06595,26.0191,26.0679,26.19824,26.22714
0.656843185,4.357,2.196,26.04871,25.90738,25.94855,26.0675,26.01981,26.06799,26.19565,26.22232
0.729508162,4.378,2.208,26.06186,25.91641,25.95377,26.07059,26.02039,26.06702,26.19315,26.21793
0.807952166,4.406,2.22,26.08072,25.93085,25.96463,26.07578,26.02005,26.06235,26.18973,26.21695
0.883884192,4.427,2.234,26.09549,25.94046,25.9697,26.07831,26.0195,26.06067,26.18744,26.21393
0.961250067,4.457,2.244,26.11646,25.95313,25.97708,26.08353,26.02271,26.06079,26.18353,26.20618
1.035526037,4.476,2.259,26.13031,25.96219,25.98215,26.08655,26.02359,26.05927,26.18097,26.20334
1.112908125,4.505,2.27,26.15271,25.97894,25.99182,26.08966,26.02228,26.05823,26.18051,26.20111
1.187887192,4.524,2.283,26.16522,25.98825,25.99701,26.09235,26.02347,26.05701,26.17828,26.19754
1.263905048,4.553,2.293,26.18652,26.00119,26.00693,26.1004,26.02524,26.05502,26.17242,26.19464
1.339903116,4.573,2.307,26.20056,26.01129,26.01242,26.10349,26.02573,26.05338,26.17126,26.19205
1.415554047,4.602,2.32,26.22513,26.02661,26.0202,26.10623,26.02768,26.05521,26.16922,26.18686
1.49011302,4.621,2.331,26.23935,26.03595,26.02414,26.10928,26.02893,26.05524,26.16699,26.1842
1.567587137,4.649,2.342,26.25909,26.05157,26.03738,26.11627,26.02905,26.05048,26.16498,26.18433
1.641970158,4.668,2.354,26.27429,26.06201,26.04388,26.11929,26.02954,26.05057,26.16345,26.18176
1.718331099,4.697,2.366,26.2966,26.07541,26.05188,26.12555,26.03394,26.05057,26.15958,26.17526
1.792721987,4.715,2.378,26.31137,26.08609,26.05798,26.12857,26.03485,26.05023,26.15784,26.17249
1.868710995,4.744,2.389,26.33432,26.10345,26.06851,26.13318,26.03479,26.04974,26.15771,26.17038
1.942761183,4.762,2.401,26.34933,26.11328,26.07471,26.13693,26.0365,26.04971,26.15646,26.1687
2.020009041,4.79,2.412,26.37,26.12814,26.08554,26.14566,26.03891,26.04791,26.15201,26.16595
2.098112106,4.808,2.424,26.38428,26.13815,26.09219,26.14954,26.04047,26.04724,26.15009,26.1644
2.174280167,4.836,2.435,26.40994,26.15424,26.10089,26.15359,26.04303,26.04941,26.14963,26.15927
2.246917009,4.855,2.446,26.42453,26.16446,26.10657,26.15759,26.0448,26.04959,26.14777,26.15701
2.325133085,4.882,2.456,26.44711,26.1817,26.11981,26.16425,26.04593,26.04675,26.14676,26.15784
2.400812149,4.9,2.469,26.46204,26.19318,26.12634,26.16852,26.04767,26.04703,26.14554,26.15613
2.475275993,4.927,2.479,26.48517,26.20685,26.13577,26.17612,26.05273,26.04752,26.14209,26.15094
2.55112505,4.945,2.49,26.50076,26.21799,26.14355,26.18018,26.05371,26.04721,26.1409,26.14856
2.629601002,4.972,2.5,26.52417,26.23642,26.15338,26.18457,26.05478,26.04855,26.1423,26.14694
2.704468012,4.99,2.511,26.54095,26.24713,26.16049,26.18927,26.05746,26.04871,26.14105,26.14532
2.780945063,5.017,2.522,26.56158,26.26254,26.1727,26.19864,26.06067,26.04694,26.13763,26.1442
2.854608059,5.034,2.534,26.57715,26.2742,26.18027,26.20291,26.06253,26.04739,26.1373,26.14288
2.931259155,5.06,2.542,26.603,26.2905,26.18921,26.20856,26.06628,26.05136,26.13657,26.13895
3.008243084,5.078,2.554,26.61859,26.30167,26.19623,26.21368,26.06851,26.05093,26.13531,26.13702
3.083814144,5.105,2.563,26.64175,26.31992,26.21048,26.22034,26.07016,26.0506,26.13547,26.13864
3.159826994,5.122,2.575,26.65796,26.33182,26.21759,26.22552,26.0723,26.05081,26.13492,26.13693
3.233741999,5.148,2.585,26.68094,26.34702,26.22787,26.23407,26.07861,26.05222,26.13202,26.13269
3.311285019,5.165,2.595,26.69757,26.35815,26.23596,26.23953,26.08044,26.05249,26.13168,26.13156
3.386672974,5.191,2.604,26.72321,26.37762,26.24695,26.24469,26.08319,26.05453,26.134,26.13052
3.463145018,5.208,2.615,26.7392,26.38925,26.25534,26.24948,26.08618,26.05536,26.13309,26.12949
3.536781073,5.233,2.624,26.76123,26.40622,26.26822,26.2601,26.08963,26.05463,26.13037,26.12878
3.613186121,5.25,2.636,26.77744,26.41827,26.27698,26.26447,26.09229,26.05508,26.13104,26.1282
3.691286087,5.275,2.645,26.80392,26.43527,26.28571,26.27185,26.09723,26.05988,26.13065,26.12512
3.764595032,5.292,2.655,26.82016,26.44766,26.29446,26.27737,26.10071,26.06039,26.13058,26.12326
3.843091011,5.317,2.664,26.8443,26.46652,26.30881,26.28519,26.10272,26.06055,26.13098,26.12616
3.915189028,5.333,2.673,26.86115,26.47855,26.31693,26.29099,26.10541,26.06213,26.13132,26.12494
3.993235111,5.358,2.683,26.88586,26.49457,26.32843,26.30002,26.11218,26.0643,26.12909,26.12137
4.06976819,5.374,2.693,26.90189,26.50641,26.33752,26.30652,26.11551,26.06488,26.12885,26.12198
4.145770073,5.399,2.701,26.92905,26.52713,26.3494,26.31238,26.11859,26.06775,26.13223,26.12067
4.219402075,5.414,2.711,26.94556,26.53925,26.35818,26.31799,26.12234,26.06949,26.1319,26.12027
4.295412064,5.438,2.72,26.9671,26.55743,26.37192,26.32904,26.12683,26.06937,26.13101,26.12057
4.372272015,5.455,2.73,26.98563,26.56998,26.37921,26.33432,26.1301,26.07135,26.13196,26.12067
4.450412989,5.478,2.739,27.01358,26.58856,26.39136,26.34232,26.1355,26.07541,26.13193,26.11859
4.521600008,5.495,2.747,27.02905,26.60065,26.40051,26.34961,26.14038,26.07745,26.13248,26.11755
4.600560188,5.518,2.756,27.05389,26.62057,26.4151,26.35794,26.14291,26.07846,26.13385,26.11984
4.674998045,5.533,2.767,27.07126,26.63379,26.42416,26.36386,26.14676,26.08075,26.13531,26.12057
4.752288103,5.557,2.775,27.09528,26.64944,26.43637,26.37503,26.15454,26.08319,26.13351,26.11682
4.825958014,5.572,2.783,27.11301,26.66296,26.44604,26.38165,26.15765,26.0856,26.13428,26.11884
4.905064106,5.596,2.792,27.14075,26.68448,26.45917,26.38794,26.16211,26.08908,26.13791,26.11813
4.979349136,5.61,2.802,27.15845,26.69687,26.46814,26.39465,26.16647,26.09152,26.13828,26.11841
5.055984974,5.633,2.809,27.18167,26.71567,26.48267,26.40649,26.17172,26.09097,26.13843,26.12048
5.130989075,5.648,2.817,27.1998,26.7294,26.49283,26.41254,26.17538,26.09357,26.1395,26.11987
5.207969189,5.671,2.826,27.22653,26.74771,26.50351,26.42188,26.18286,26.09952,26.1402,26.11783
5.28334403,5.686,2.835,27.2439,26.76086,26.51392,26.42883,26.18695,26.10135,26.14157,26.11786
5.359920979,5.707,2.843,27.26953,26.7818,26.53,26.43842,26.19037,26.10397,26.14459,26.12204
5.432142019,5.723,2.852,27.28784,26.7955,26.53876,26.44543,26.19516,26.10666,26.14594,26.12247
5.509150982,5.744,2.86,27.31293,26.81299,26.55386,26.4567,26.20303,26.10989,26.14505,26.12201
5.586002111,5.759,2.868,27.33054,26.82681,26.5629,26.46387,26.20737,26.11221,26.14609,26.12241
5.662392139,5.78,2.877,27.35922,26.84836,26.57678,26.47131,26.21329,26.11755,26.15073,26.12299
5.737034082,5.795,2.885,27.37683,26.86081,26.58487,26.47855,26.21799,26.12067,26.15179,26.12326
5.811602116,5.816,2.892,27.40073,26.88159,26.60281,26.49121,26.22406,26.12143,26.15314,26.1268
5.888307095,5.83,2.9,27.41953,26.89539,26.61237,26.49759,26.22824,26.12479,26.15491,26.12677
5.96698904,5.851,2.908,27.44714,26.91486,26.6246,26.50882,26.23697,26.13071,26.15704,26.12534
6.041723013,5.864,2.916,27.46466,26.92813,26.63531,26.51599,26.24194,26.13327,26.15811,26.12643
6.115982056,5.886,2.923,27.49219,26.95038,26.65155,26.52646,26.24597,26.13712,26.16214,26.13077
6.191604137,5.899,2.93,27.50922,26.96442,26.66125,26.53342,26.25134,26.14017,26.16425,26.13193
6.268218994,5.92,2.938,27.53598,26.98322,26.67737,26.5473,26.26001,26.14362,26.16418,26.13248
6.343486071,5.933,2.946,27.55383,26.99734,26.68781,26.5542,26.26459,26.14755,26.16589,26.13403
6.421766996,5.953,2.952,27.58298,27.01895,26.70132,26.5625,26.27185,26.15363,26.17108,26.13504
