Date and Time: 2025-11-18 09:51:07
Approximate Polling Time: 100 ms
Comments: Period = 20
timestamp/s,voltage/V,current/A,thermistor_0/C,thermistor_1/C,thermistor_2/C,thermistor_3/C,thermistor_4/C,thermistor_5/C,thermistor_6/C,thermistor_7/C
0,3.125,1.277,28.68649,28.62555,28.66592,28.74036,28.63278,28.62466,28.70966,28.71713
0.074512005,3.302,1.359,28.69226,28.63199,28.66989,28.74176,28.63211,28.62369,28.71002,28.71484
0.150876999,3.42,1.452,28.69376,28.63531,28.67255,28.74435,28.63385,28.62305,28.70837,28.71301
0.228510141,3.593,1.532,28.69855,28.6376,28.67477,28.74756,28.63507,28.62192,28.70621,28.71161
0.302592993,3.706,1.619,28.69977,28.64084,28.67834,28.74863,28.63577,28.62207,28.70453,28.70966
0.377774,3.874,1.694,28.70737,28.64603,28.68069,28.74969,28.63614,28.6221,28.70535,28.70792
0.452541113,3.985,1.778,28.7099,28.64893,28.68225,28.75079,28.63702,28.62219,28.70383,28.70712
0.5289011,4.147,1.85,28.71411,28.65289,28.68808,28.75552,28.63733,28.6203,28.70251,28.70581
0.606513977,4.255,1.93,28.71997,28.65561,28.68869,28.75629,28.63794,28.62061,28.70297,28.70685
0.683037996,4.412,2,28.72748,28.65964,28.69086,28.75879,28.63968,28.62155,28.7002,28.70206
0.754565954,4.516,2.077,28.73007,28.66159,28.69208,28.76007,28.64023,28.62222,28.70074,28.70117
0.832787037,4.667,2.144,28.73993,28.6683,28.69788,28.76193,28.63968,28.62039,28.69998,28.70227
0.908839941,4.764,2.215,28.74545,28.67218,28.70184,28.76382,28.64011,28.62024,28.69907,28.70053
0.985515118,4.91,2.28,28.75323,28.67404,28.70264,28.76639,28.64221,28.61969,28.69568,28.69501
1.060904026,5.003,2.349,28.76025,28.67789,28.70578,28.76898,28.6434,28.62024,28.69604,28.69559
1.138244152,5.141,2.41,28.77176,28.68573,28.71021,28.77011,28.64362,28.62128,28.69699,28.69421
1.214030027,5.231,2.473,28.78055,28.68912,28.71088,28.77063,28.64456,28.62131,28.69647,28.6933
1.287286043,5.362,2.53,28.79037,28.69458,28.71597,28.77573,28.64536,28.61945,28.69373,28.69171
1.362206936,5.447,2.59,28.7984,28.69897,28.71866,28.77646,28.64532,28.61862,28.69305,28.6915
1.44453001,5.57,2.642,28.81458,28.70633,28.72253,28.7789,28.64713,28.62009,28.69351,28.69073
1.51554513,5.65,2.699,28.82269,28.70993,28.72415,28.78021,28.64822,28.62109,28.6922,28.6882
1.592887163,5.767,2.749,28.83762,28.71759,28.72839,28.78223,28.64896,28.62042,28.6922,28.68878
1.668230057,5.84,2.802,28.84775,28.72357,28.7327,28.78406,28.64877,28.62009,28.69183,28.68777
1.742891073,5.948,2.846,28.86435,28.73032,28.73514,28.78671,28.65094,28.62003,28.69019,28.6861
1.817139149,6.018,2.896,28.87473,28.73639,28.73825,28.78857,28.65219,28.62085,28.69003,28.68515
1.894119024,6.118,2.937,28.89276,28.74612,28.7421,28.79025,28.65219,28.62137,28.69107,28.68512
1.97094202,6.181,2.981,28.90524,28.75378,28.74762,28.79214,28.65274,28.62094,28.68997,28.68329
2.046720982,6.272,3.019,28.92419,28.7623,28.75232,28.79736,28.65521,28.62097,28.68866,28.68298
2.120478153,6.331,3.058,28.9357,28.76779,28.75394,28.7984,28.65448,28.62097,28.68915,28.68326
2.197226048,6.414,3.092,28.95804,28.77927,28.7598,28.80032,28.65704,28.62296,28.68887,28.681
2.271975994,6.466,3.129,28.97266,28.78653,28.76242,28.80243,28.65808,28.62329,28.68851,28.6803
2.348720074,6.54,3.158,28.99338,28.79947,28.77158,28.80588,28.65866,28.62186,28.68863,28.67947
2.423588037,6.587,3.192,29.00613,28.80673,28.77615,28.8093,28.65912,28.62152,28.68802,28.68134
2.500331163,6.652,3.218,29.02856,28.81723,28.77814,28.81198,28.66217,28.62375,28.68741,28.67828
2.577208996,6.692,3.246,29.04645,28.82693,28.78381,28.81424,28.66254,28.62372,28.68756,28.67786
2.653533936,6.748,3.27,29.07001,28.84113,28.79132,28.81818,28.66367,28.62418,28.68768,28.67786
2.730785131,6.782,3.294,29.08536,28.84927,28.79465,28.81943,28.66458,28.62405,28.68698,28.67786
2.806038141,6.829,3.315,29.11008,28.86221,28.80276,28.82581,28.66721,28.6246,28.6861,28.67627
2.880154133,6.857,3.334,29.12527,28.87274,28.80743,28.82932,28.66937,28.62433,28.68649,28.67612
2.957288027,6.894,3.351,29.15283,28.88718,28.81476,28.83051,28.6701,28.62634,28.6868,28.67487
3.031409979,6.916,3.366,29.17114,28.89761,28.82108,28.83438,28.67221,28.62759,28.68716,28.67462
3.10879612,6.944,3.378,29.19724,28.91315,28.82993,28.84186,28.67398,28.62576,28.68668,28.67627
3.182549953,6.96,3.39,29.21332,28.92346,28.83533,28.84375,28.67548,28.62805,28.68607,28.67389
3.259150982,6.978,3.398,29.24448,28.93921,28.84146,28.84863,28.67908,28.62997,28.68631,28.672
3.336163998,6.988,3.405,29.26212,28.95065,28.84885,28.85284,28.68021,28.63055,28.68634,28.67227
3.412534952,6.996,3.412,29.28986,28.96893,28.8606,28.85693,28.68188,28.63046,28.68686,28.67453
3.488155127,6.998,3.415,29.30957,28.98029,28.86649,28.86148,28.68369,28.63174,28.68723,28.67325
3.565711975,6.998,3.417,29.33826,28.9971,28.87625,28.86743,28.68729,28.63232,28.68695,28.67258
3.637243032,6.995,3.416,29.35703,29.00888,28.88315,28.87292,28.68948,28.63281,28.68692,28.67236
3.713987112,6.985,3.415,29.38788,29.0289,28.8927,28.87686,28.69205,28.63495,28.68829,28.67343
3.788926125,6.974,3.41,29.40823,29.04111,28.89996,28.88089,28.69403,28.63629,28.68851,28.67242
3.866532087,6.955,3.405,29.43576,29.05966,28.91193,28.8895,28.69742,28.63593,28.68787,28.67319
3.943293095,6.938,3.396,29.45538,29.07175,28.91907,28.89313,28.69974,28.63782,28.68848,28.6716
4.020534039,6.91,3.387,29.49036,29.09235,28.92896,28.89877,28.70346,28.64151,28.68845,28.67062
4.095881939,6.887,3.376,29.508,29.10544,28.93835,28.90454,28.7056,28.64108,28.68948,28.67111
4.171513081,6.848,3.363,29.53903,29.12607,28.95151,28.91217,28.70886,28.64224,28.69077,28.67389
4.24704504,6.82,3.348,29.55887,29.13913,28.95831,28.91672,28.71121,28.64337,28.69156,28.67502
4.328078032,6.772,3.331,29.59045,29.15973,28.97214,28.92584,28.71643,28.64529,28.69107,28.67377
4.396446943,6.737,3.31,29.61188,29.17297,28.97821,28.93048,28.71945,28.64703,28.69171,28.6727
4.473897934,6.68,3.29,29.64471,29.19644,28.99182,28.93719,28.72217,28.64871,28.6933,28.67252
4.549880981,6.638,3.266,29.66501,29.21024,29.00238,28.94257,28.72623,28.65164,28.69473,28.67282
4.627140045,6.572,3.242,29.69571,29.23126,29.0163,28.95395,28.73038,28.65176,28.69421,28.67584
4.702221155,6.526,3.214,29.71536,29.24579,29.0264,28.96069,28.73404,28.65353,28.69498,28.67517
4.776700974,6.45,3.188,29.74957,29.26749,29.03662,28.9664,28.73953,28.65872,28.69702,28.67435
4.853256941,6.397,3.155,29.77005,29.2814,29.04819,28.97385,28.74243,28.65958,28.69824,28.67474
4.928312063,6.313,3.125,29.80035,29.3053,29.0632,28.98279,28.74777,28.66013,28.69904,28.67834
5.004523993,6.256,3.091,29.82153,29.31961,29.07239,28.98904,28.75095,28.66333,28.70007,28.67743
5.080845118,6.163,3.056,29.85153,29.34149,29.08655,28.99899,28.75717,28.66599,28.70035,28.67737
5.15454793,6.098,3.017,29.87271,29.35541,29.09427,29.00586,28.76202,28.66895,28.70178,28.67688
5.233052015,5.998,2.98,29.90436,29.38135,29.11252,29.01453,28.76489,28.67163,28.70551,28.68057
5.30824995,5.927,2.938,29.9241,29.39542,29.12308,29.0217,28.76981,28.67456,28.70511,28.68018
5.384917021,5.819,2.896,29.95511,29.41666,29.13644,29.03351,28.77646,28.67679,28.70657,28.68201
5.457442999,5.743,2.85,29.9762,29.43246,29.14526,29.04013,28.78015,28.67935,28.70694,28.68036
5.536926985,5.626,2.804,30.00696,29.45682,29.16312,29.04901,28.78662,28.68314,28.70993,28.68216
5.609259129,5.546,2.753,30.02823,29.47012,29.17325,29.0578,28.79041,28.68622,28.71201,28.68314
5.688676119,5.423,2.705,30.05289,29.49432,29.1908,29.06915,28.79797,28.68896,28.71332,28.68417
5.761991978,5.336,2.651,30.07623,29.51004,29.20114,29.07571,28.80203,28.69092,28.71548,28.68829
5.839571953,5.204,2.601,30.10431,29.53088,29.21384,29.0878,28.80994,28.69684,28.7168,28.68558
5.916149139,5.114,2.541,30.12363,29.547,29.22626,29.09503,28.81476,28.6987,28.71835,28.68738
5.991868019,4.975,2.488,30.15167,29.57129,29.24326,29.10654,28.82016,28.70206,28.72171,28.69101
6.067305088,4.88,2.424,30.1712,29.58539,29.25571,29.11362,28.82449,28.70563,28.72388,28.69092
6.143420935,4.735,2.366,30.19843,29.60638,29.27148,29.12595,28.83392,28.71027,28.72476,28.6933
6.217296124,4.636,2.298,30.21606,29.62238,29.2822,29.13501,28.83856,28.7124,28.72659,28.6944
6.307121038,4.483,2.238,30.24426,29.64621,29.29889,29.14499,28.84564,28.71783,28.73096,28.69638
6.369259119,4.381,2.167,30.26306,29.66187,29.30954,29.15213,28.85074,28.72168,28.73352,28.69812
6.446563959,4.224,2.104,30.28717,29.68246,29.32562,29.16815,28.85883,28.72455,28.73486,28.69952
6.520194054,4.116,2.037,30.30405,29.6972,29.33859,29.17572,28.86346,28.728,28.73654,28.70172
6.596419096,3.952,1.967,30.33133,29.71909,29.35364,29.18811,28.87231,28.73328,28.74045,28.70441
6.673252106,3.841,1.889,30.34695,29.73325,29.36554,29.19553,28.87775,28.73862,28.74261,28.70401
6.750030994,3.672,1.818,30.36908,29.7547,29.3826,29.20847,28.88644,28.74161,28.74548,28.71057
6.823843956,3.557,1.737,30.38519,29.76984,29.39529,29.21515,28.89145,28.74503,28.74918,28.71008
6.898963928,3.383,1.665,30.40646,29.79013,29.41122,29.22952,28.90149,28.7514,28.75143,28.71198
6.975567102,3.265,1.581,30.42133,29.80374,29.42297,29.2381,28.90668,28.75507,28.75323,28.71381
7.053545952,3.086,1.504,30.44366,29.82742,29.43765,29.24878,28.91473,28.76129,28.75873,28.71768
7.128865004,2.968,1.417,30.45691,29.83981,29.45071,29.25934,28.92026,28.76392,28.76062,28.71851
7.207705975,2.785,1.337,30.47778,29.85922,29.46594,29.27261,28.93018,28.77124,28.76453,28.72186
7.280936003,2.662,1.248,30.49075,29.87268,29.47897,29.28204,28.93579,28.77289,28.76746,28.72601
7.356378078,2.476,1.167,30.51047,29.89169,29.49368,29.29285,28.94531,28.78174,28.77191,28.72711
7.432786942,2.35,1.076,30.5228,29.90448,29.50455,29.30142,28.9516,28.78625,28.77435,28.72916
7.508932114,2.16,0.992,30.53998,29.92438,29.52182,29.3147,28.96054,28.79031,28.77853,28.73569
7.595309973,2.033,0.899,30.54935,29.93484,29.53458,29.32477,28.96503,28.79443,28.78299,28.73813
7.658412933,1.84,0.814,30.56601,29.95306,29.54749,29.33682,28.97647,28.80347,28.78674,28.73721
7.73458004,1.712,0.72,30.57684,29.96429,29.55862,29.34686,28.98337,28.80746,28.78949,28.74042
7.812067032,1.518,0.633,30.59076,29.98312,29.57468,29.35831,28.99118,28.81335,28.79514,28.74628
7.887150049,1.386,0.536,30.60095,29.99554,29.58511,29.36642,28.99792,28.81772,28.79843,28.74817
7.964179993,1.19,0.449,30.6134,30.01007,29.59933,29.38239,29.00745,28.82404,28.80231,28.74982
8.039242029,1.057,0.35,30.61929,30.02145,29.61151,29.38916,29.0148,28.82956,28.80573,28.75473
8.115555048,0.859,0.273,30.63315,30.03751,29.62659,29.40067,29.02371,28.83679,28.81137,28.75742
8.189917088,0.726,0.211,30.63989,30.0473,29.63708,29.41013,29.03058,28.84238,28.81528,28.76144
8.267559052,0.527,0.166,30.647,30.06274,29.65219,29.42255,29.03903,28.84796,28.82077,28.76712
8.341066122,0.392,0.136,30.65408,30.07196,29.66245,29.4321,29.04602,28.85153,28.82367,28.76968
8.41891408,0.193,0.109,30.66153,30.08484,29.67581,29.44406,29.05637,28.86081,28.82913,28.77267
8.493334055,0.061,0.089,30.66727,30.09317,29.68277,29.45209,29.0639,28.86597,28.83133,28.77539
8.569347143,-0.138,-0.076,30.67264,30.10693,29.70004,29.46515,29.07166,28.87253,28.83914,28.78113
8.643425941,-0.272,-0.097,30.67657,30.11566,29.70874,29.47305,29.07834,28.87762,28.84305,28.78415
8.719259024,-0.472,-0.13,30.68018,30.12601,29.72147,29.48596,29.09027,28.88397,28.84775,28.78781
8.794180155,-0.606,-0.195,30.68335,30.1329,29.73114,29.49451,29.09604,28.89063,28.85031,28.79254
8.870856047,-0.805,-0.261,30.68646,30.14496,29.74393,29.5043,29.10535,28.8981,28.85913,28.79608
8.946476936,-0.937,-0.35,30.68814,30.15182,29.75211,29.51227,29.11176,28.90363,28.86255,28.79959
9.024837971,-1.135,-0.431,30.6875,30.16141,29.76553,29.5264,29.12158,28.91046,28.86688,28.80765
9.098207951,-1.266,-0.526,30.68564,30.16776,29.77359,29.53287,29.12881,28.91449,28.87244,28.80881
9.177076101,-1.464,-0.613,30.68988,30.17529,29.7836,29.54443,29.13852,28.92529,28.87857,28.81345
9.252886057,-1.592,-0.711,30.68906,30.18082,29.79068,29.5524,29.14478,28.93027,28.88278,28.81674
9.328279972,-1.787,-0.798,30.68756,30.18796,29.80579,29.56277,29.15292,28.93689,28.89081,28.82419
9.402230978,-1.916,-0.895,30.68488,30.19485,29.81329,29.56995,29.15884,28.94312,28.89417,28.82834
9.477374077,-2.108,-0.981,30.68457,30.19907,29.8204,29.58224,29.17065,28.94992,28.90012,28.83167
9.552778959,-2.236,-1.078,30.68231,30.20319,29.82822,29.58932,29.17722,28.95569,28.90396,28.83609
9.629379988,-2.424,-1.163,30.68027,30.21017,29.83838,29.59879,29.18561,28.96475,28.91177,28.8432
9.705466032,-2.55,-1.259,30.67706,30.21405,29.84451,29.60449,29.19214,28.96924,28.91696,28.84634
9.78215313,-2.735,-1.343,30.67041,30.2175,29.85342,29.61749,29.20203,28.97742,28.92279,28.85236
9.856907129,-2.856,-1.44,30.66785,30.21994,29.86237,29.62363,29.20776,28.9819,28.92749,28.85724
9.933896065,-3.04,-1.519,30.66318,30.22409,29.86792,29.63226,29.21756,28.99219,28.93466,28.86099
10.00907207,-3.157,-1.611,30.65823,30.2262,29.87387,29.63892,29.2233,28.99725,28.93942,28.86673
10.08558893,-3.335,-1.691,30.64923,30.22955,29.88336,29.64862,29.23233,29.00385,28.94675,28.87314
10.16072297,-3.452,-1.776,30.64365,30.23129,29.88885,29.65466,29.23795,29.00949,28.95111,28.87799
10.23895001,-3.625,-1.853,30.63495,30.23291,29.89294,29.66501,29.24802,29.01782,28.95743,28.88156
10.31248713,-3.739,-1.935,30.62766,30.23282,29.90015,29.67026,29.25372,29.02371,28.96255,28.88611
10.38992,-3.907,-2.011,30.61945,30.23557,29.90536,29.67664,29.2612,29.03235,28.97009,28.89584
10.46458101,-4.018,-2.091,30.61008,30.23602,29.91049,29.68335,29.26709,29.03732,28.97531,28.89838
