Date and Time: 2025-11-18 10:14:22,,,,,,,,,,
Approximate Polling Time: 100 ms,,,,,,,,,,
Comments: Period = 20,,,,,,,,,,
timestamp/s,voltage/V,current/A,thermistor_0/C,thermistor_1/C,thermistor_2/C,thermistor_3/C,thermistor_4/C,thermistor_5/C,thermistor_6/C,thermistor_7/C
0,-2.171,-1.009,30.73758,30.37158,30.11203,29.97229,29.66589,29.52557,29.53317,29.49762
0.078631163,-2.36,-1.096,30.73526,30.3765,30.11935,29.98294,29.67407,29.53186,29.53571,29.49927
0.153769016,-2.486,-1.192,30.73355,30.37909,30.12595,29.9874,29.67844,29.53506,29.53812,29.49988
0.229488134,-2.672,-1.275,30.73184,30.38724,30.13602,29.99646,29.68539,29.54108,29.543,29.50323
0.302780151,-2.796,-1.369,30.7291,30.39041,30.14139,30.00238,29.69016,29.54456,29.54553,29.50482
0.381891012,-2.978,-1.453,30.72333,30.3938,30.15079,30.01294,29.69775,29.54993,29.54822,29.50818
0.456066132,-3.098,-1.544,30.71982,30.39664,30.15619,30.01779,29.70236,29.55255,29.55133,29.50961
0.532165051,-3.277,-1.623,30.71652,30.40088,30.1644,30.02518,29.70923,29.55914,29.55521,29.51196
0.608582973,-3.392,-1.711,30.71185,30.40189,30.16702,30.03085,29.71402,29.56354,29.55817,29.51288
0.687165022,-3.566,-1.788,30.70303,30.40521,30.17709,30.03992,29.72147,29.56775,29.56155,29.51678
0.758255005,-3.682,-1.872,30.69775,30.40689,30.18051,30.04385,29.72437,29.57098,29.56329,29.51904
0.836217165,-3.85,-1.946,30.69012,30.40778,30.18707,30.05206,29.73288,29.57797,29.56851,29.52124
0.912028074,-3.961,-2.026,30.68228,30.40729,30.19058,30.0564,29.73654,29.58011,29.57022,29.52365
0.988341093,-4.124,-2.099,30.67398,30.41022,30.19659,30.06238,29.74286,29.5867,29.57657,29.53009
1.064028978,-4.232,-2.176,30.66394,30.40817,30.19861,30.06567,29.74707,29.5903,29.57922,29.53116
1.140624046,-4.39,-2.246,30.65237,30.40811,30.20645,30.07443,29.75479,29.59464,29.58316,29.53271
1.215908051,-4.494,-2.319,30.64462,30.40704,30.20807,30.0798,29.75845,29.59946,29.58563,29.53677
1.292258978,-4.645,-2.388,30.63342,30.4053,30.21243,30.08456,29.76495,29.60522,29.59088,29.53937
1.367221117,-4.742,-2.456,30.62469,30.40417,30.215,30.08856,29.76886,29.60934,29.59393,29.54214
1.444769144,-4.89,-2.518,30.60919,30.40189,30.22009,30.09488,29.77454,29.61328,29.59845,29.54733
1.517285109,-4.984,-2.584,30.59885,30.3999,30.22226,30.09741,29.77884,29.61688,29.6015,29.55075
1.595530987,-5.122,-2.643,30.5842,30.39548,30.22339,30.103,29.7851,29.62292,29.60513,29.55087
1.670166969,-5.212,-2.705,30.57278,30.39273,30.22595,30.10788,29.78897,29.62643,29.60803,29.55426
1.74505496,-5.344,-2.761,30.55704,30.38916,30.22922,30.11179,29.7934,29.63196,29.61395,29.55988
1.820177078,-5.429,-2.818,30.54523,30.38565,30.2309,30.11539,29.79861,29.63736,29.6174,29.56287
1.899271965,-5.554,-2.871,30.52859,30.37943,30.23016,30.12,29.80487,29.64178,29.6203,29.56348
1.971964121,-5.634,-2.927,30.51395,30.37433,30.2319,30.12299,29.80673,29.64554,29.6246,29.56985
2.048552036,-5.75,-2.973,30.49701,30.36749,30.2319,30.12643,29.81253,29.65005,29.62888,29.57181
2.123809099,-5.826,-3.025,30.48398,30.36386,30.2334,30.12872,29.81577,29.65344,29.63235,29.57639
2.200322151,-5.934,-3.07,30.46234,30.35693,30.23572,30.13324,29.82047,29.6575,29.63699,29.57996
2.274456024,-6.004,-3.116,30.44852,30.35059,30.23441,30.13428,29.82285,29.66046,29.64023,29.58539
2.35752511,-6.103,-3.157,30.42877,30.34247,30.23334,30.1377,29.82874,29.66681,29.64493,29.59015
2.427127123,-6.168,-3.199,30.41602,30.33667,30.23547,30.14063,29.83286,29.66919,29.64697,29.58661
2.504806042,-6.26,-3.237,30.39423,30.32864,30.23245,30.14087,29.83524,29.6752,29.65329,29.59567
2.57830596,-6.319,-3.275,30.38058,30.32227,30.23242,30.14328,29.83835,29.6785,29.65619,29.59695
2.656354189,-6.402,-3.31,30.35468,30.30978,30.22937,30.14658,29.84314,29.68283,29.65973,29.6022
2.733168125,-6.456,-3.346,30.33844,30.30267,30.22821,30.14819,29.84634,29.68634,29.6636,29.60718
2.8071661,-6.53,-3.376,30.31848,30.29263,30.22403,30.14618,29.84879,29.69299,29.6684,29.60678
2.883669138,-6.577,-3.407,30.30176,30.28531,30.2233,30.1485,29.85205,29.69461,29.67151,29.61139
2.960177183,-6.643,-3.435,30.27621,30.27438,30.2244,30.15164,29.85516,29.69745,29.67627,29.61862
3.035212994,-6.684,-3.461,30.25952,30.26547,30.22134,30.15192,29.85657,29.69931,29.67935,29.62128
3.112267971,-6.74,-3.484,30.23694,30.25201,30.21371,30.15128,29.86142,29.70618,29.68304,29.62326
3.186771154,-6.775,-3.507,30.21945,30.24356,30.21088,30.15091,29.86371,29.70871,29.6871,29.62656
3.265086174,-6.822,-3.526,30.19534,30.2319,30.20938,30.15192,29.86603,29.7135,29.69205,29.63354
3.339924097,-6.851,-3.544,30.17709,30.2218,30.20236,30.15051,29.86722,29.71548,29.69406,29.63419
