Date and Time: 2025-11-18 10:35:38,,,,,,,,,,
Approximate Polling Time: 100 ms,,,,,,,,,,
Comments: Period = 10
timestamp/s,voltage/V,current/A,thermistor_0/C,thermistor_1/C,thermistor_2/C,thermistor_3/C,thermistor_4/C,thermistor_5/C,thermistor_6/C,thermistor_7/C
0,6.06,2.843,29.77744,29.97507,30.20703,30.35614,30.26462,30.23602,30.29224,30.27554
0.076530933,6.19,2.94,29.78189,29.97275,30.20044,30.35217,30.26236,30.23517,30.29153,30.27557
0.152506828,6.366,3.022,29.79089,29.96912,30.19199,30.34494,30.25934,30.23499,30.29105,30.27435
0.226422787,6.473,3.103,29.79779,29.96667,30.18649,30.3429,30.25668,30.23297,30.29138,30.27158
0.305952787,6.614,3.17,29.80865,29.9639,30.18436,30.33676,30.25085,30.2309,30.29102,30.27756
0.378531933,6.697,3.236,29.81595,29.96481,30.17905,30.33203,30.24911,30.23032,30.29083,30.27567
0.455935955,6.803,3.29,29.82883,29.96219,30.17398,30.32773,30.24606,30.228,30.28906,30.27524
0.531661987,6.862,3.339,29.8385,29.96304,30.17078,30.32404,30.24362,30.2262,30.28818,30.27557
0.60865283,6.929,3.377,29.85733,29.96463,30.16547,30.31769,30.23969,30.22559,30.28836,30.27478
0.68194294,6.962,3.409,29.86868,29.96689,30.15988,30.31357,30.2366,30.22266,30.28812,30.27368
0.76103878,6.992,3.434,29.88556,29.97015,30.16034,30.31097,30.23257,30.22052,30.28616,30.27481
0.835256815,7,3.451,29.89877,29.97241,30.15771,30.30847,30.23032,30.21838,30.28662,30.27466
0.909399986,6.991,3.459,29.92035,29.97729,30.1517,30.30508,30.22748,30.21753,30.28488,30.27249
0.984051943,6.973,3.461,29.93616,29.98041,30.1524,30.30029,30.22534,30.21609,30.28381,30.27179
1.0632658,6.926,3.453,29.9592,29.98801,30.1525,30.2973,30.22131,30.21375,30.28351,30.27399
1.138264894,6.883,3.439,29.97705,29.99316,30.14984,30.29636,30.21857,30.21518,30.28336,30.2749
1.215508938,6.799,3.419,30.00027,29.99988,30.14957,30.29269,30.21649,30.20929,30.28,30.27167
1.2897439,6.731,3.389,30.01801,30.00598,30.14954,30.2916,30.21442,30.20795,30.27884,30.27182
1.367034912,6.611,3.356,30.0473,30.01724,30.14935,30.28619,30.21091,30.20621,30.27786,30.27292
1.442173004,6.517,3.308,30.06509,30.02368,30.15012,30.2854,30.20917,30.20529,30.27747,30.2699
1.516914845,6.361,3.26,30.09143,30.03485,30.15219,30.28528,30.20584,30.20093,30.27585,30.27017
1.591738939,6.245,3.197,30.11322,30.0423,30.1528,30.28357,30.20395,30.19852,30.27554,30.26981
1.66817379,6.054,3.136,30.14142,30.05493,30.1546,30.28201,30.20245,30.19894,30.27222,30.26822
1.743908882,5.915,3.057,30.16171,30.06332,30.1571,30.28137,30.20166,30.1965,30.27213,30.26559
1.819544792,5.69,2.982,30.18958,30.08032,30.15958,30.28128,30.19794,30.19305,30.27191,30.26767
1.89693594,5.531,2.89,30.21143,30.08856,30.16483,30.27884,30.19672,30.19205,30.26953,30.26721
1.972803831,5.276,2.799,30.24234,30.10184,30.16986,30.27966,30.19638,30.19064,30.26794,30.26248
2.047289848,5.096,2.691,30.26315,30.1127,30.17188,30.28201,30.19415,30.18872,30.26624,30.26401
2.125891924,4.813,2.587,30.29498,30.13046,30.1759,30.28079,30.19278,30.18729,30.26556,30.26212
2.199007988,4.619,2.464,30.31537,30.14154,30.17923,30.28146,30.19177,30.18695,30.26428,30.26074
2.275521994,4.307,2.347,30.34467,30.15891,30.18607,30.28479,30.19083,30.18262,30.26257,30.2598
2.352276802,4.096,2.209,30.36429,30.16913,30.19348,30.2851,30.1897,30.18277,30.25964,30.2619
2.430552006,3.766,2.08,30.39755,30.18719,30.19623,30.28833,30.18936,30.18112,30.26025,30.25549
2.505492926,3.536,1.931,30.41757,30.19778,30.20297,30.28915,30.1889,30.17981,30.25851,30.25687
2.580434799,3.185,1.79,30.44592,30.21887,30.21124,30.29074,30.18912,30.17691,30.25824,30.25601
2.654231787,2.944,1.626,30.46417,30.23071,30.21848,30.29263,30.18726,30.17761,30.25616,30.25571
2.7299788,2.576,1.476,30.49179,30.24728,30.2254,30.29745,30.18933,30.17526,30.25342,30.25409
2.804890871,2.324,1.297,30.51132,30.25894,30.23196,30.29947,30.1897,30.17349,30.25217,30.25424
2.884922981,1.944,1.135,30.53955,30.27896,30.23944,30.30377,30.1882,30.17355,30.25262,30.24966
2.961928844,1.685,0.951,30.55795,30.2908,30.24542,30.30609,30.18964,30.17184,30.25241,30.24854
3.037016869,1.294,0.782,30.57986,30.31018,30.25732,30.31268,30.19037,30.17154,30.24829,30.24896
3.111059904,1.03,0.592,30.59583,30.32224,30.26471,30.31351,30.19016,30.17148,30.24857,30.24872
3.189197779,0.632,0.431,30.62064,30.34055,30.27222,30.31833,30.1933,30.17212,30.24622,30.24786
3.263189793,0.365,0.298,30.63446,30.35178,30.28201,30.32129,30.1937,30.17105,30.24548,30.24698
3.340914011,-0.035,-0.207,30.65802,30.36871,30.29263,30.32758,30.19308,30.16962,30.2467,30.24579
3.41493988,-0.299,-0.164,30.66727,30.38278,30.29828,30.33261,30.1944,30.16998,30.24573,30.24393
3.489074945,-0.702,-0.176,30.686,30.3978,30.30881,30.33795,30.1976,30.17056,30.24265,30.24167
3.563824892,-0.964,-0.275,30.69724,30.4079,30.31689,30.34305,30.19904,30.17001,30.24191,30.24261
3.640565872,-1.358,-0.39,30.71317,30.42661,30.32629,30.34726,30.20117,30.1709,30.24246,30.24023
3.716170788,-1.621,-0.551,30.72253,30.4361,30.33505,30.3511,30.20291,30.17105,30.2421,30.23907
3.79378891,-2.008,-0.704,30.7345,30.45163,30.34659,30.36105,30.20523,30.17038,30.24203,30.2406
3.868133783,-2.263,-0.886,30.74106,30.46027,30.35419,30.36404,30.20679,30.1712,30.24039,30.23938
3.94430685,-2.638,-1.05,30.74997,30.47369,30.3624,30.36911,30.20923,30.1713,30.23972,30.23593
4.019260883,-2.884,-1.236,30.75995,30.48151,30.37012,30.37454,30.21295,30.17609,30.23981,30.23355
4.097337961,-3.244,-1.401,30.76486,30.49594,30.38138,30.38037,30.21457,30.17224,30.24039,30.23599
4.170806885,-3.479,-1.581,30.76788,30.50403,30.38956,30.38596,30.21576,30.17377,30.24008,30.2348
4.248066902,-3.821,-1.738,30.76923,30.51425,30.39987,30.39352,30.21973,30.17587,30.23709,30.23514
4.322601795,-4.043,-1.905,30.77408,30.51965,30.40488,30.39938,30.22281,30.17468,30.23828,30.23303
4.39929986,-4.362,-2.053,30.776,30.53189,30.41635,30.40506,30.2244,30.17868,30.23895,30.23154
